-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2003,0.34,0.39,0.32,0.18,0.16,0.41,0.7,0.83,0.92,0.88,0.8,0.7,0.55
GWETTOP,2004,0.62,0.49,0.35,0.33,0.34,0.59,0.73,0.9,0.85,0.79,0.65,0.52,0.59
GWETTOP,2005,0.45,0.45,0.35,0.23,0.22,0.34,0.76,0.88,0.86,0.79,0.66,0.52,0.55
GWETTOP,2006,0.41,0.3,0.39,0.27,0.35,0.45,0.65,0.84,0.84,0.74,0.6,0.47,0.53
GWETTOP,2007,0.38,0.41,0.36,0.21,0.26,0.42,0.72,0.82,0.89,0.84,0.73,0.59,0.55
GWETTOP,2008,0.47,0.41,0.35,0.27,0.2,0.58,0.84,0.91,0.88,0.79,0.64,0.51,0.57
GWETTOP,2009,0.43,0.31,0.19,0.16,0.2,0.34,0.7,0.76,0.8,0.7,0.57,0.47,0.47
GWETTOP,2010,0.4,0.3,0.14,0.09,0.25,0.34,0.61,0.73,0.79,0.72,0.57,0.48,0.45
GWETTOP,2011,0.41,0.34,0.2,0.3,0.32,0.52,0.77,0.87,0.93,0.82,0.69,0.55,0.55
GWETTOP,2012,0.55,0.45,0.33,0.26,0.16,0.34,0.7,0.9,0.9,0.8,0.72,0.58,0.55
GWETTOP,2013,0.46,0.41,0.34,0.35,0.2,0.52,0.72,0.87,0.88,0.91,0.82,0.72,0.6
GWETTOP,2014,0.62,0.52,0.48,0.38,0.3,0.38,0.62,0.84,0.84,0.78,0.66,0.53,0.59
GWETTOP,2015,0.48,0.41,0.39,0.34,0.2,0.42,0.79,0.88,0.87,0.77,0.62,0.49,0.55
GWETTOP,2016,0.43,0.36,0.32,0.14,0.3,0.37,0.66,0.88,0.9,0.86,0.73,0.6,0.55
GWETTOP,2017,0.48,0.4,0.26,0.11,0.2,0.38,0.83,0.91,0.88,0.8,0.66,0.53,0.54
GWETTOP,2018,0.42,0.37,0.21,0.23,0.3,0.41,0.73,0.86,0.86,0.7,0.52,0.46,0.51
GWETTOP,2019,0.42,0.4,0.34,0.21,0.17,0.36,0.73,0.84,0.88,0.85,0.75,0.66,0.55
GWETTOP,2020,0.61,0.52,0.54,0.42,0.39,0.59,0.76,0.85,0.86,0.86,0.75,0.64,0.65
GWETTOP,2021,0.51,0.43,0.32,0.17,0.41,0.63,0.76,0.85,0.84,0.77,0.63,0.52,0.57
GWETTOP,2022,0.51,0.45,0.36,0.15,0.25,0.38,0.66,0.8,0.86,0.84,0.74,0.62,0.55
GWETPROF,1981,0.51,0.47,0.41,0.39,0.39,0.43,0.72,0.9,0.9,0.78,0.6,0.5,0.59
GWETPROF,1982,0.48,0.49,0.45,0.4,0.41,0.48,0.66,0.91,0.89,0.71,0.6,0.5,0.59
GWETPROF,1983,0.44,0.41,0.39,0.39,0.4,0.41,0.58,0.73,0.82,0.8,0.62,0.52,0.54
GWETPROF,1984,0.48,0.45,0.41,0.39,0.39,0.45,0.68,0.91,0.91,0.73,0.56,0.47,0.57
GWETPROF,1985,0.47,0.43,0.39,0.39,0.39,0.41,0.63,0.8,0.88,0.78,0.63,0.52,0.56
GWETPROF,1986,0.46,0.45,0.42,0.39,0.4,0.44,0.68,0.81,0.73,0.61,0.5,0.45,0.53
GWETPROF,1987,0.45,0.41,0.39,0.39,0.4,0.43,0.55,0.61,0.74,0.66,0.56,0.48,0.51
GWETPROF,1988,0.43,0.4,0.4,0.39,0.39,0.44,0.71,0.84,0.83,0.7,0.53,0.45,0.55
GWETPROF,1989,0.41,0.39,0.39,0.39,0.39,0.45,0.59,0.75,0.78,0.68,0.52,0.45,0.52
GWETPROF,1990,0.42,0.41,0.39,0.39,0.44,0.49,0.77,0.88,0.88,0.88,0.72,0.59,0.6
GWETPROF,1991,0.5,0.43,0.39,0.39,0.38,0.44,0.55,0.84,0.91,0.77,0.62,0.52,0.56
GWETPROF,1992,0.48,0.42,0.39,0.39,0.39,0.42,0.55,0.75,0.84,0.7,0.54,0.46,0.53
GWETPROF,1993,0.41,0.39,0.39,0.39,0.39,0.45,0.7,0.78,0.9,0.87,0.71,0.58,0.59
GWETPROF,1994,0.5,0.45,0.4,0.39,0.39,0.53,0.88,0.96,0.94,0.82,0.67,0.55,0.62
GWETPROF,1995,0.5,0.46,0.44,0.4,0.39,0.41,0.62,0.86,0.91,0.78,0.66,0.55,0.59
GWETPROF,1996,0.52,0.46,0.42,0.39,0.39,0.44,0.66,0.89,0.89,0.74,0.59,0.48,0.57
GWETPROF,1997,0.43,0.41,0.39,0.41,0.4,0.43,0.72,0.93,0.91,0.78,0.69,0.69,0.6
GWETPROF,1998,0.63,0.6,0.49,0.42,0.4,0.42,0.64,0.71,0.86,0.82,0.72,0.6,0.61
GWETPROF,1999,0.51,0.44,0.4,0.38,0.39,0.45,0.63,0.86,0.92,0.85,0.69,0.56,0.59
GWETPROF,2000,0.48,0.43,0.4,0.39,0.41,0.47,0.58,0.61,0.62,0.52,0.43,0.39,0.48
GWETPROF,2001,0.39,0.39,0.39,0.4,0.39,0.48,0.83,0.95,0.87,0.78,0.62,0.51,0.59
GWETPROF,2002,0.45,0.43,0.4,0.4,0.39,0.44,0.54,0.65,0.79,0.66,0.52,0.45,0.51
GWETPROF,2003,0.41,0.41,0.4,0.39,0.39,0.45,0.62,0.8,0.95,0.91,0.79,0.66,0.6
GWETPROF,2004,0.58,0.5,0.42,0.41,0.41,0.53,0.66,0.9,0.86,0.77,0.62,0.51,0.59
GWETPROF,2005,0.46,0.47,0.41,0.39,0.39,0.41,0.69,0.88,0.88,0.76,0.62,0.52,0.58
GWETPROF,2006,0.45,0.41,0.43,0.39,0.4,0.45,0.57,0.8,0.84,0.71,0.57,0.48,0.55
GWETPROF,2007,0.43,0.44,0.41,0.39,0.39,0.45,0.64,0.79,0.9,0.85,0.69,0.57,0.58
GWETPROF,2008,0.48,0.45,0.41,0.4,0.39,0.51,0.82,0.93,0.9,0.77,0.61,0.51,0.6
GWETPROF,2009,0.45,0.41,0.39,0.39,0.39,0.41,0.6,0.7,0.77,0.67,0.55,0.48,0.52
GWETPROF,2010,0.44,0.4,0.39,0.38,0.39,0.41,0.54,0.66,0.74,0.67,0.55,0.49,0.51
GWETPROF,2011,0.44,0.41,0.39,0.4,0.4,0.48,0.7,0.86,0.95,0.82,0.65,0.53,0.59
GWETPROF,2012,0.52,0.48,0.41,0.39,0.39,0.42,0.62,0.9,0.93,0.78,0.67,0.55,0.59
GWETPROF,2013,0.48,0.44,0.41,0.41,0.39,0.48,0.64,0.87,0.9,0.94,0.81,0.68,0.62
GWETPROF,2014,0.59,0.52,0.5,0.42,0.4,0.42,0.56,0.83,0.84,0.75,0.62,0.52,0.58
GWETPROF,2015,0.48,0.45,0.42,0.4,0.39,0.43,0.72,0.89,0.88,0.74,0.59,0.5,0.58
GWETPROF,2016,0.45,0.41,0.4,0.39,0.4,0.41,0.58,0.88,0.93,0.87,0.7,0.58,0.59
GWETPROF,2017,0.49,0.44,0.4,0.39,0.39,0.41,0.77,0.94,0.89,0.8,0.63,0.52,0.59
GWETPROF,2018,0.45,0.41,0.39,0.39,0.4,0.42,0.65,0.85,0.88,0.67,0.52,0.47,0.54
GWETPROF,2019,0.45,0.43,0.41,0.39,0.39,0.42,0.65,0.8,0.88,0.87,0.72,0.61,0.59
GWETPROF,2020,0.57,0.51,0.52,0.45,0.43,0.54,0.7,0.83,0.87,0.86,0.71,0.6,0.63
GWETPROF,2021,0.51,0.45,0.41,0.39,0.43,0.56,0.7,0.85,0.83,0.74,0.6,0.51,0.59
GWETPROF,2022,0.5,0.47,0.43,0.39,0.39,0.44,0.59,0.76,0.87,0.85,0.71,0.59,0.59
GWETROOT,1981,0.51,0.47,0.41,0.39,0.39,0.44,0.73,0.91,0.91,0.78,0.6,0.5,0.59
GWETROOT,1982,0.48,0.49,0.45,0.4,0.41,0.48,0.66,0.93,0.9,0.72,0.6,0.49,0.59
GWETROOT,1983,0.43,0.4,0.38,0.38,0.39,0.41,0.59,0.73,0.83,0.8,0.62,0.51,0.54
GWETROOT,1984,0.48,0.45,0.4,0.38,0.38,0.46,0.7,0.93,0.92,0.73,0.56,0.46,0.57
GWETROOT,1985,0.47,0.43,0.38,0.38,0.38,0.41,0.65,0.81,0.88,0.79,0.63,0.52,0.56
GWETROOT,1986,0.46,0.45,0.42,0.39,0.4,0.45,0.7,0.82,0.73,0.6,0.5,0.45,0.53
GWETROOT,1987,0.45,0.41,0.39,0.38,0.4,0.43,0.56,0.62,0.75,0.66,0.55,0.48,0.51
GWETROOT,1988,0.43,0.4,0.4,0.39,0.39,0.45,0.73,0.85,0.84,0.7,0.53,0.45,0.55
GWETROOT,1989,0.41,0.38,0.38,0.38,0.38,0.46,0.59,0.76,0.79,0.67,0.51,0.45,0.52
GWETROOT,1990,0.41,0.41,0.39,0.38,0.44,0.5,0.79,0.88,0.88,0.88,0.72,0.59,0.61
GWETROOT,1991,0.49,0.42,0.39,0.38,0.38,0.45,0.57,0.85,0.92,0.77,0.62,0.52,0.56
GWETROOT,1992,0.47,0.41,0.38,0.39,0.39,0.42,0.55,0.77,0.85,0.7,0.54,0.46,0.53
GWETROOT,1993,0.41,0.38,0.39,0.39,0.39,0.46,0.72,0.79,0.91,0.87,0.71,0.58,0.59
GWETROOT,1994,0.5,0.45,0.39,0.38,0.38,0.55,0.91,0.98,0.95,0.83,0.67,0.55,0.62
GWETROOT,1995,0.5,0.46,0.43,0.39,0.39,0.41,0.63,0.88,0.92,0.78,0.66,0.55,0.59
GWETROOT,1996,0.52,0.46,0.41,0.39,0.38,0.45,0.68,0.91,0.91,0.74,0.58,0.48,0.58
GWETROOT,1997,0.43,0.4,0.38,0.41,0.39,0.44,0.73,0.95,0.93,0.78,0.69,0.7,0.6
GWETROOT,1998,0.63,0.59,0.49,0.42,0.39,0.43,0.66,0.72,0.87,0.83,0.73,0.6,0.61
GWETROOT,1999,0.5,0.44,0.39,0.38,0.39,0.46,0.64,0.87,0.94,0.86,0.69,0.55,0.59
GWETROOT,2000,0.48,0.42,0.39,0.38,0.4,0.48,0.59,0.61,0.62,0.52,0.42,0.39,0.48
GWETROOT,2001,0.38,0.38,0.39,0.39,0.39,0.49,0.85,0.95,0.88,0.78,0.62,0.5,0.59
GWETROOT,2002,0.45,0.42,0.39,0.39,0.39,0.45,0.54,0.66,0.8,0.66,0.52,0.44,0.51
GWETROOT,2003,0.41,0.41,0.4,0.38,0.38,0.45,0.63,0.8,0.97,0.91,0.8,0.66,0.6
GWETROOT,2004,0.58,0.5,0.41,0.41,0.4,0.54,0.67,0.91,0.87,0.78,0.62,0.51,0.6
GWETROOT,2005,0.45,0.47,0.41,0.39,0.39,0.41,0.7,0.9,0.88,0.77,0.62,0.52,0.58
GWETROOT,2006,0.45,0.4,0.42,0.39,0.4,0.45,0.59,0.82,0.85,0.72,0.57,0.48,0.55
GWETROOT,2007,0.42,0.44,0.41,0.38,0.39,0.45,0.65,0.8,0.91,0.85,0.69,0.56,0.59
GWETROOT,2008,0.48,0.45,0.41,0.4,0.38,0.52,0.84,0.95,0.91,0.78,0.61,0.51,0.6
GWETROOT,2009,0.45,0.41,0.38,0.38,0.39,0.41,0.62,0.71,0.77,0.67,0.55,0.48,0.52
GWETROOT,2010,0.43,0.4,0.38,0.38,0.39,0.41,0.55,0.67,0.75,0.67,0.55,0.48,0.51
GWETROOT,2011,0.44,0.4,0.38,0.4,0.4,0.49,0.71,0.87,0.97,0.82,0.65,0.53,0.59
GWETROOT,2012,0.52,0.48,0.41,0.39,0.38,0.43,0.63,0.91,0.94,0.79,0.68,0.55,0.59
GWETROOT,2013,0.48,0.44,0.41,0.41,0.38,0.48,0.66,0.88,0.91,0.95,0.81,0.68,0.62
GWETROOT,2014,0.59,0.51,0.49,0.42,0.4,0.42,0.57,0.84,0.85,0.75,0.62,0.52,0.59
GWETROOT,2015,0.48,0.44,0.42,0.4,0.38,0.44,0.73,0.9,0.89,0.74,0.59,0.49,0.58
GWETROOT,2016,0.45,0.41,0.4,0.38,0.4,0.41,0.59,0.89,0.95,0.88,0.7,0.57,0.59
GWETROOT,2017,0.49,0.43,0.39,0.38,0.38,0.42,0.8,0.95,0.9,0.8,0.63,0.52,0.59
GWETROOT,2018,0.45,0.41,0.39,0.39,0.4,0.42,0.66,0.86,0.88,0.67,0.51,0.47,0.55
GWETROOT,2019,0.45,0.42,0.4,0.38,0.38,0.43,0.66,0.82,0.9,0.87,0.73,0.61,0.59
GWETROOT,2020,0.57,0.51,0.52,0.45,0.43,0.55,0.71,0.84,0.88,0.87,0.72,0.6,0.64
GWETROOT,2021,0.51,0.45,0.41,0.38,0.44,0.57,0.7,0.85,0.84,0.74,0.6,0.51,0.59
GWETROOT,2022,0.5,0.47,0.42,0.38,0.39,0.45,0.59,0.77,0.88,0.85,0.71,0.59,0.59
CLOUD_AMT,1981,,,,,,,,,,,,,
CLOUD_AMT,1982,,,,,,,,,,,,,
CLOUD_AMT,1983,,,,,,,,,,,,,
CLOUD_AMT,1984,50.63,46.99,28.45,53.41,50.86,92.42,95.16,87.77,60.23,63.76,14.8,26.42,55.97
CLOUD_AMT,1985,56.39,12.02,37.88,42.83,63.68,85.53,93.13,93.58,81.81,55.02,23.3,31.14,56.7
CLOUD_AMT,1986,29.05,61.31,42.98,37.02,65.8,81.48,91.84,87.06,73.1,35.42,27.97,37.0,55.8
CLOUD_AMT,1987,31.63,32.27,50.8,44.62,68.2,80.48,96.05,90.43,85.93,40.58,49.56,17.63,57.47
CLOUD_AMT,1988,30.53,40.26,50.58,60.05,66.16,85.93,95.01,94.45,79.11,40.73,30.34,22.54,58.01
CLOUD_AMT,1989,23.55,20.45,50.95,30.68,75.25,87.23,92.26,91.92,85.9,40.58,23.41,22.83,53.99
CLOUD_AMT,1990,10.69,44.46,51.46,35.35,73.73,92.08,97.7,85.76,87.36,63.98,33.55,32.03,59.1
CLOUD_AMT,1991,32.52,27.42,36.14,42.9,43.77,78.96,92.78,93.73,78.29,49.66,39.84,44.22,55.2
CLOUD_AMT,1992,19.93,27.93,23.48,52.49,50.26,79.3,91.48,89.39,67.43,45.12,40.32,14.05,50.11
CLOUD_AMT,1993,21.74,30.51,43.96,53.44,51.28,80.45,86.29,94.57,91.48,51.84,19.35,33.11,54.97
CLOUD_AMT,1994,28.97,37.09,19.06,53.48,62.15,93.36,93.76,93.73,70.96,57.45,30.27,19.03,55.02
CLOUD_AMT,1995,37.12,29.18,55.55,47.54,68.55,85.9,92.4,92.75,81.76,40.99,27.11,22.09,56.93
CLOUD_AMT,1996,39.73,31.58,32.0,42.93,54.3,75.81,92.09,95.13,72.62,47.53,22.59,33.35,53.42
CLOUD_AMT,1997,33.14,19.41,39.53,49.0,55.36,75.41,95.46,88.7,81.34,51.07,46.0,64.44,58.51
CLOUD_AMT,1998,44.7,38.47,36.59,47.34,39.52,86.13,90.59,89.63,74.57,49.78,38.98,0.66,53.1
CLOUD_AMT,1999,6.67,18.49,3.78,8.19,53.3,80.34,91.35,92.84,79.73,53.7,12.89,4.3,42.29
CLOUD_AMT,2000,5.33,43.78,10.42,16.59,58.22,82.88,89.3,82.27,71.87,29.73,10.31,3.02,41.93
CLOUD_AMT,2001,30.02,40.9,53.34,40.76,51.02,91.88,95.73,89.38,71.0,38.04,16.42,22.22,53.48
CLOUD_AMT,2002,27.84,36.99,45.15,35.9,46.37,80.42,89.56,91.34,71.95,29.13,15.55,23.49,49.56
CLOUD_AMT,2003,32.87,36.91,42.9,39.48,52.27,83.65,88.91,87.32,89.59,54.48,7.09,24.51,53.45
CLOUD_AMT,2004,22.39,22.56,34.29,35.21,56.88,80.02,94.38,87.75,71.73,32.57,10.62,22.07,47.66
CLOUD_AMT,2005,44.2,24.55,42.77,39.99,43.43,76.62,91.48,89.59,73.41,45.7,14.4,29.8,51.55
CLOUD_AMT,2006,23.01,30.51,47.97,33.95,63.53,85.37,95.66,86.8,70.98,21.7,28.74,22.76,51.04
CLOUD_AMT,2007,31.9,33.8,28.35,32.35,49.69,82.41,93.37,90.5,86.02,29.39,12.53,17.66,49.08
CLOUD_AMT,2008,26.2,26.35,42.29,26.98,52.72,90.5,94.84,91.08,66.16,30.76,27.91,19.59,49.7
CLOUD_AMT,2009,19.2,18.34,45.09,23.8,45.0,68.26,90.73,92.14,64.89,28.64,30.28,19.27,45.68
CLOUD_AMT,2010,21.75,41.78,32.06,28.52,56.7,74.51,87.84,89.69,67.25,43.2,29.91,30.66,50.4
CLOUD_AMT,2011,17.29,27.88,26.74,46.38,52.66,83.7,86.37,94.74,78.26,18.19,6.87,21.07,46.76
CLOUD_AMT,2012,36.4,23.48,33.29,40.33,44.15,80.05,95.62,91.0,73.81,31.49,20.95,26.85,49.88
CLOUD_AMT,2013,27.89,34.08,38.59,35.23,55.41,86.37,92.2,87.69,75.27,63.75,14.91,18.63,52.65
CLOUD_AMT,2014,30.44,34.29,36.57,33.3,51.68,77.16,91.24,92.7,64.59,33.61,16.75,35.98,50.01
CLOUD_AMT,2015,30.87,33.88,39.24,43.45,49.5,84.12,91.47,88.77,62.41,21.08,20.86,31.81,49.89
CLOUD_AMT,2016,32.09,42.98,47.23,34.84,59.41,77.01,95.58,88.49,85.0,31.99,8.82,21.52,52.13
CLOUD_AMT,2017,26.51,10.87,21.77,25.19,48.04,81.56,96.81,93.62,81.27,47.21,22.38,11.51,47.47
CLOUD_AMT,2018,10.41,33.37,22.46,37.27,49.52,73.15,96.26,94.23,69.58,25.51,13.95,24.95,45.96
CLOUD_AMT,2019,20.76,24.09,25.26,39.19,50.09,77.15,89.02,93.2,85.55,64.56,22.23,35.52,52.41
CLOUD_AMT,2020,29.2,27.41,43.35,37.59,46.77,86.48,92.77,92.2,82.14,53.43,21.73,19.78,52.83
CLOUD_AMT,2021,27.06,26.38,26.35,49.65,65.55,85.7,92.86,92.98,85.72,42.3,40.34,27.7,55.34
CLOUD_AMT,2022,32.8,19.48,13.31,40.93,57.0,87.98,88.67,89.01,89.43,49.8,13.46,19.68,50.3
TOA_SW_DWN,1981,,,,,,,,,,,,,
TOA_SW_DWN,1982,,,,,,,,,,,,,
TOA_SW_DWN,1983,,,,,,,,,,,,,
TOA_SW_DWN,1984,25.55,29.59,34.24,37.72,39.43,39.86,39.46,38.04,35.15,30.87,26.51,24.27,33.4
TOA_SW_DWN,1985,25.63,29.63,34.2,37.7,39.43,39.85,39.46,38.05,35.17,30.9,26.54,24.27,33.42
TOA_SW_DWN,1986,25.61,29.59,34.16,37.68,39.42,39.85,39.47,38.06,35.2,30.94,26.57,24.28,33.42
TOA_SW_DWN,1987,25.58,29.55,34.13,37.66,39.41,39.86,39.47,38.08,35.24,30.98,26.61,24.29,33.42
TOA_SW_DWN,1988,25.57,29.6,34.24,37.73,39.45,39.86,39.45,38.04,35.16,30.88,26.52,24.27,33.4
TOA_SW_DWN,1989,25.65,29.66,34.22,37.73,39.46,39.87,39.49,38.07,35.18,30.92,26.55,24.29,33.44
TOA_SW_DWN,1990,25.63,29.62,34.19,37.71,39.45,39.89,39.49,38.08,35.23,30.95,26.57,24.29,33.44
TOA_SW_DWN,1991,25.59,29.58,34.16,37.71,39.44,39.87,39.5,38.11,35.25,30.98,26.61,24.28,33.44
TOA_SW_DWN,1992,25.58,29.62,34.27,37.75,39.46,39.87,39.47,38.04,35.15,30.86,26.51,24.27,33.41
TOA_SW_DWN,1993,25.65,29.64,34.22,37.72,39.44,39.87,39.47,38.05,35.17,30.89,26.53,24.27,33.43
TOA_SW_DWN,1994,25.61,29.61,34.18,37.7,39.43,39.86,39.47,38.06,35.19,30.93,26.57,24.27,33.42
TOA_SW_DWN,1995,25.59,29.57,34.14,37.67,39.42,39.86,39.47,38.08,35.22,30.96,26.59,24.28,33.42
TOA_SW_DWN,1996,25.56,29.61,34.25,37.73,39.44,39.85,39.45,38.02,35.13,30.85,26.5,24.27,33.39
TOA_SW_DWN,1997,25.64,29.65,34.22,37.72,39.44,39.86,39.46,38.04,35.16,30.9,26.53,24.27,33.42
TOA_SW_DWN,1998,25.62,29.62,34.19,37.71,39.44,39.87,39.48,38.07,35.2,30.94,26.57,24.29,33.43
TOA_SW_DWN,1999,25.61,29.59,34.17,37.69,39.44,39.88,39.49,38.1,35.24,30.98,26.6,24.29,33.44
TOA_SW_DWN,2000,25.59,29.64,34.27,37.76,39.46,39.88,39.47,38.06,35.15,30.88,26.52,24.29,33.42
TOA_SW_DWN,2001,25.65,29.65,34.2,37.71,39.45,39.88,39.5,38.07,35.19,30.95,26.58,24.31,33.44
TOA_SW_DWN,2002,25.64,29.61,34.18,37.7,39.45,39.89,39.49,38.08,35.23,30.97,26.61,24.31,33.45
TOA_SW_DWN,2003,25.6,29.56,34.12,37.66,39.43,39.87,39.49,38.1,35.25,30.99,26.63,24.31,33.43
TOA_SW_DWN,2004,25.56,29.59,34.23,37.73,39.45,39.87,39.46,38.03,35.16,30.89,26.53,24.29,33.4
TOA_SW_DWN,2005,25.63,29.63,34.19,37.7,39.43,39.86,39.47,38.06,35.18,30.92,26.56,24.29,33.43
TOA_SW_DWN,2006,25.61,29.59,34.15,37.68,39.43,39.87,39.47,38.06,35.2,30.95,26.58,24.29,33.42
